show_id,category,win,year
28,Outstanding Directing For A Comedy Series,False,2019
28,Outstanding Music Composition For A Series (Original Dramatic Score),False,2019
28,Outstanding Supporting Actress In A Comedy Series,False,2019
29,Outstanding Writing for a Comedy Series,True,2000
29,Outstanding Directing For A Comedy Series,True,2000
29,Outstanding Guest Actress In A Comedy Series,False,2000
29,Outstanding Lead Actress In A Comedy Series,False,2000
29,Outstanding Casting For A Comedy Series,False,2000
29,Outstanding Directing For A Comedy Series,True,2001
29,Outstanding Writing for a Comedy Series,True,2001
29,Outstanding Guest Actor In A Comedy Series,False,2001
29,Outstanding Guest Actress In A Comedy Series,False,2001
29,Outstanding Comedy Series,False,2001
29,Outstanding Lead Actor In A Comedy Series,False,2001
29,Outstanding Lead Actress In A Comedy Series,False,2001
29,Outstanding Guest Actress In A Comedy Series,True,2002
29,Outstanding Supporting Actor In A Comedy Series,False,2002
29,Outstanding Lead Actress In A Comedy Series,False,2002
29,Outstanding Stunt Coordination,False,2002
29,Outstanding Directing For A Comedy Series,False,2002
29,Outstanding Single-camera Picture Editing For A Comedy Series,True,2003
29,Outstanding Guest Actress In A Comedy Series,False,2003
29,Outstanding Supporting Actor In A Comedy Series,False,2003
29,Outstanding Lead Actress In A Comedy Series,False,2003
29,Outstanding Choreography,False,2004
29,Outstanding Lead Actress In A Comedy Series,False,2004
29,Outstanding Guest Actress In A Comedy Series,False,2004
29,Outstanding Lead Actress In A Comedy Series,False,2005
29,Outstanding Guest Actress In A Comedy Series,False,2005
29,OUTSTANDING MUSIC AND LYRICS,False,2005
29,Outstanding Guest Actress In A Comedy Series,True,2006
29,Outstanding Supporting Actor In A Comedy Series,False,2006
29,Outstanding Lead Actress In A Comedy Series,False,2006
29,Outstanding Choreography,False,2006
30,Outstanding Writing For A Comedy Series,True,2016
30,Outstanding Lead Actor In A Comedy Series,False,2016
30,Outstanding Directing For A Comedy Series,False,2016
30,Outstanding Comedy Series,False,2016
30,Outstanding Writing for a Comedy Series,True,2017
30,Outstanding Single-Camera Picture Editing for a Comedy Series,True,2017
30,Outstanding Sound Mixing for a Comedy or Drama Series (Half-Hour) and Animation,False,2017
30,Outstanding Comedy Series,False,2017
30,Outstanding Guest Actress in a Comedy Series,False,2017
30,Outstanding Music Supervision,False,2017
30,Outstanding Casting for a Comedy Series,False,2017
30,Outstanding Lead Actor in a Comedy Series,False,2017
31,Outstanding Directing For A Variety Special,True,2019
31,Outstanding Variety Special (Pre-Recorded),False,2019
32,Outstanding Writing For A Comedy Series,False,2016
32,Outstanding Guest Actress in a Comedy Series,False,2017
33,OUTSTANDING MUSIC AND LYRICS,False,1998
33,OUTSTANDING WRITING FOR A VARIETY OR MUSIC PROGRAM,False,1998
33,OUTSTANDING WRITING FOR A VARIETY OR MUSIC PROGRAM,False,1999
33,OUTSTANDING LIGHTING DIRECTION (ELECTRONIC) FOR A COMEDY SERIES,False,1999
34,Outstanding Lead Actor In A Comedy Series,False,2011
34,Outstanding Writing for a Comedy Series,False,2011
34,Outstanding Writing for a Comedy Series,True,2012
34,Outstanding Directing For A Comedy Series,False,2012
34,Outstanding Lead Actor In A Comedy Series,False,2012
34,Outstanding Guest Actress In A Comedy Series,True,2013
34,Outstanding Single-camera Picture Editing For A Comedy Series,False,2013
34,Outstanding Lead Actor In A Comedy Series,False,2013
34,Outstanding Comedy Series,False,2013
34,Outstanding Directing For A Comedy Series,False,2013
34,Outstanding Writing for a Comedy Series,False,2013
34,Outstanding Writing for a Comedy Series,True,2014
34,Outstanding Casting For A Comedy Series,False,2014
34,Outstanding Lead Actor In A Comedy Series,False,2014
34,Outstanding Directing For A Comedy Series,False,2014
34,Outstanding Comedy Series,False,2014
34,Outstanding Writing For A Comedy Series,False,2015
34,Outstanding Casting For A Comedy Series,False,2015
34,Outstanding Comedy Series,False,2015
34,Outstanding Directing For A Comedy Series,False,2015
34,Outstanding Guest Actress In A Comedy Series,False,2015
34,Outstanding Lead Actor In A Comedy Series,False,2015
35,OUTSTANDING CINEMATOGRAPHY FOR A SERIES,True,1999
35,OUTSTANDING MUSIC COMPOSITION FOR A SERIES (DRAMATIC UNDERSCORE),False,2000
36,"Outstanding Writing For A Limited Series, Movie Or A Dramatic Special",False,2015
36,"Outstanding Costumes For A Period | Fantasy Series, Limited Series Or Movie",False,2015
36,"Outstanding Casting For A Limited Series, Movie Or A Special",False,2015
36,"Outstanding Directing For A Limited Series, Movie Or A Dramatic Special",False,2015
36,Outstanding Single-Camera Picture Editing For A Limited Series Or A Movie,False,2015
36,Outstanding Supporting Actor In A Limited Series Or A Movie,False,2015
36,Outstanding Limited Series,False,2015
36,Outstanding Lead Actor In A Limited Series Or A Movie,False,2015
37,OUTSTANDING ANIMATED PROGRAM (FOR PROGRAMMING ONE HOUR OR LESS),True,1991
37,OUTSTANDING SOUND MIXING FOR A COMEDY SERIES OR A SPECIAL,False,1991
37,Outstanding Voice-Over Performance,True,1992
37,OUTSTANDING ANIMATED PROGRAM (FOR PROGRAMMING ONE HOUR OR LESS),False,1992
37,OUTSTANDING individual achievement in SOUND MIXING FOR A COMEDY SERIES OR A SPECIAL,False,1992
